CECODID	CMERKM	CODTXTLD	CODTXTKD	CODTXTLF	CODTXTKF	CODTXTLI	CODTXTKI	CEXPDAT
7570	GENH2	Sonne (thermisch)	Sonne (thermisch)	Soleil (thermique)	Soleil (thermique)	Sole (termico)	Sole (termico)	2026-05-08
7570	GENW1	Sonne (thermisch)	Sonne (thermisch)	Soleil (thermique)	Soleil (thermique)	Sole (termico)	Sole (termico)	2026-05-08
7570	GENW2	Sonne (thermisch)	Sonne (thermisch)	Soleil (thermique)	Soleil (thermique)	Sole (termico)	Sole (termico)	2026-05-08
7580	GENH1	Fernwärme (generisch)	Fernwärme (generisch)	Chaleur produite à distance (générique)	Chaleur à distance (gén.)	Calore prodotto a distanza (generico)	Calore a distanza (generico)	2026-05-08
7580	GENH2	Fernwärme (generisch)	Fernwärme (generisch)	Chaleur produite à distance (générique)	Chaleur à distance (gén.)	Calore prodotto a distanza (generico)	Calore a distanza (generico)	2026-05-08
7580	GENW1	Fernwärme (generisch)	Fernwärme (generisch)	Chaleur produite à distance (générique)	Chaleur à distance (gén.)	Calore prodotto a distanza (generico)	Calore a distanza (generico)	2026-05-08
7580	GENW2	Fernwärme (generisch)	Fernwärme (generisch)	Chaleur produite à distance (générique)	Chaleur à distance (gén.)	Calore prodotto a distanza (generico)	Calore a distanza (generico)	2026-05-08
7581	GENH1	Fernwärme (Hochtemperatur)	Fernwärme (Hochtemperatur)	Chaleur produite à distance (haute température)	Chaleur à distance (haute temp.)	Calore prodotto a distanza (alta temperatura)	Calore a distanza (alta temp.)	2026-05-08
7581	GENH2	Fernwärme (Hochtemperatur)	Fernwärme (Hochtemperatur)	Chaleur produite à distance (haute température)	Chaleur à distance (haute temp.)	Calore prodotto a distanza (alta temperatura)	Calore a distanza (alta temp.)	2026-05-08
7581	GENW1	Fernwärme (Hochtemperatur)	Fernwärme (Hochtemperatur)	Chaleur produite à distance (haute température)	Chaleur à distance (haute temp.)	Calore prodotto a distanza (alta temperatura)	Calore a distanza (alta temp.)	2026-05-08
7581	GENW2	Fernwärme (Hochtemperatur)	Fernwärme (Hochtemperatur)	Chaleur produite à distance (haute température)	Chaleur à distance (haute temp.)	Calore prodotto a distanza (alta temperatura)	Calore a distanza (alta temp.)	2026-05-08
7582	GENH1	Fernwärme (Niedertemperatur)	Fernwärme (Niedertemperatur)	Chaleur produite à distance (basse température)	Chaleur à distance (basse temp.)	Calore prodotto a distanza (bassa temperatura)	Calore a distanza (bassa temp.)	2026-05-08
7582	GENH2	Fernwärme (Niedertemperatur)	Fernwärme (Niedertemperatur)	Chaleur produite à distance (basse température)	Chaleur à distance (basse temp.)	Calore prodotto a distanza (bassa temperatura)	Calore a distanza (bassa temp.)	2026-05-08
7582	GENW1	Fernwärme (Niedertemperatur)	Fernwärme (Niedertemperatur)	Chaleur produite à distance (basse température)	Chaleur à distance (basse temp.)	Calore prodotto a distanza (bassa temperatura)	Calore a distanza (bassa temp.)	2026-05-08
7582	GENW2	Fernwärme (Niedertemperatur)	Fernwärme (Niedertemperatur)	Chaleur produite à distance (basse température)	Chaleur à distance (basse temp.)	Calore prodotto a distanza (bassa temperatura)	Calore a distanza (bassa temp.)	2026-05-08
7598	GENH1	Unbestimmt	Unbestimmt	Indéterminé	Indéterminé	Indeterminata	Indeterminata	2026-05-08
7598	GENH2	Unbestimmt	Unbestimmt	Indéterminé	Indéterminé	Indeterminata	Indeterminata	2026-05-08
7598	GENW1	Unbestimmt	Unbestimmt	Indéterminé	Indéterminé	Indeterminata	Indeterminata	2026-05-08
7598	GENW2	Unbestimmt	Unbestimmt	Indéterminé	Indéterminé	Indeterminata	Indeterminata	2026-05-08
7599	GENH1	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
7599	GENH2	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
7599	GENW1	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
7599	GENW2	Andere	Andere	Autre	Autre	Altro	Altro	2026-05-08
7600	GWAERZW1	Kein Wärmeerzeuger	Kein Wärmeerzeuger	Pas de générateur de chaleur	Pas de gén. de chaleur	Senza generatore di calore	Senza gen. di calore	2026-05-08
7600	GWAERZW2	Kein Wärmeerzeuger	Kein Wärmeerzeuger	Pas de générateur de chaleur	Pas de gén. de chaleur	Senza generatore di calore	Senza gen. di calore	2026-05-08
7610	GWAERZW1	Wärmepumpe	Wärmepumpe	Pompe à chaleur PAC	Pompe à chaleur	Pompa di calore PAC	Pompa di calore	2026-05-08
7610	GWAERZW2	Wärmepumpe	Wärmepumpe	Pompe à chaleur PAC	Pompe à chaleur	Pompa di calore PAC	Pompa di calore	2026-05-08
7620	GWAERZW1	Thermische Solaranlage	Thermische Solaranlage	Installation solaire thermique	Solaire thermique	Impianto solare termico	Impianto solare termico	2026-05-08
7620	GWAERZW2	Thermische Solaranlage	Thermische Solaranlage	Installation solaire thermique	Solaire thermique	Impianto solare termico	Impianto solare termico	2026-05-08
7630	GWAERZW1	Heizkessel (generisch)	Heizkessel (generisch)	Chaudière (générique)	Chaudière (générique)	Caldaia (generica)	Caldaia (generica)	2026-05-08
7630	GWAERZW2	Heizkessel (generisch)	Heizkessel (generisch)	Chaudière (générique)	Chaudière (générique)	Caldaia (generica)	Caldaia (generica)	2026-05-08
