CECODID	CMERKM	CODTXTLD	CODTXTKD	CODTXTLF	CODTXTKF	CODTXTLI	CODTXTKI	CEXPDAT
870	GWAERSCEW2	Gemäss Versorgungswerk (Gas, Fernwärme)	Gemäss Versorgungswerk	Selon entreprise de distribution (gaz, chaleur à distance)	Selon entreprise de distribution	Secondo l'impresa di erogazione (gas, calore a distanza)	Secondo l'impresa di erogazione	2026-05-08
871	GWAERSCEH1	Gemäss Minergie	Gemäss Minergie	Selon Minergie	Selon Minergie	Secondo Minergie	Secondo Minergie	2026-05-08
871	GWAERSCEH2	Gemäss Minergie	Gemäss Minergie	Selon Minergie	Selon Minergie	Secondo Minergie	Secondo Minergie	2026-05-08
871	GWAERSCEW1	Gemäss Minergie	Gemäss Minergie	Selon Minergie	Selon Minergie	Secondo Minergie	Secondo Minergie	2026-05-08
871	GWAERSCEW2	Gemäss Minergie	Gemäss Minergie	Selon Minergie	Selon Minergie	Secondo Minergie	Secondo Minergie	2026-05-08
878	GVOLSCE	Nicht bestimmbares Volumen (nicht geschlossenes Gebäude)	Nicht bestimmbares Volumen	Volume non détérminable (bâtiment non fermé)	Volume non détérminable	Volume non determinabile (edificio non chiuso)	Volume non determinabile	2026-05-08
901	GKSCE	Amtliche Vermessung, DM.01	AV, DM.01	Mensuration officielle, MD01	MO, MD01	Misurazione ufficiale, DM.01	MU, DM01	2026-05-08
902	GKSCE	Aus amtlicher Vermessung hergeleitet	AV, hergeleitet	Produites à partir de la mensuration officielle	MO, autres	Derivazione dalla misurazione ufficiale	MU, derivazione	2026-05-08
903	GKSCE	Angabe Nachführungsgeometer	Geometer	Indication du géomètre conservateur	Géomètre conservateur	Indicazione del geometra revisore	Geometra revisore	2026-05-08
904	GKSCE	Angabe Baugesuch	Baugesuch	Indication de la demande de permis de construire	Demande permis constr.	Indicazione domanda di costruzione	domanda costruzione	2026-05-08
905	GKSCE	Bundesamt für Statistik	BFS	Office fédéral de la statistique	OFS	Ufficio federale di statistica	UST	2026-05-08
906	GKSCE	Datensatz GeoPost	GeoPost	Données de GeoPost	GeoPost	Dati GeoPost	GeoPost	2026-05-08
909	GKSCE	Andere Datenquelle	Andere Datenquelle	Autre source	Autre source	Altra fonte di dati	Altra fonte di dati	2026-05-08
961	GVOLNORM	Gemäss SIA-Norm 116	Gemäss SIA-Norm 116	Selon norme SIA 116	Selon norme SIA 116	Secondo la norma SIA 116	Secondo la norma SIA 116	2026-05-08
962	GVOLNORM	Gemäss SIA-Norm 416	Gemäss SIA-Norm 416	Selon norme SIA 416	Selon norme SIA 416	Secondo la norma SIA 416	Secondo la norma SIA 416	2026-05-08
969	GVOLNORM	Unbekannt	Unbekannt	Inconnu	Inconnu	Non noto	Non noto	2026-05-08
1001	GSTAT	Gebäude projektiert	projektiert	Bâtiment en projet	en projet	Edificio in progetto	in progetto	2026-05-08
1002	GSTAT	Gebäude bewilligt	bewilligt	Bâtiment autorisé	autorisé	Edificio autorizzato	autorizzato	2026-05-08
1003	GSTAT	Gebäude im Bau	im Bau	Bâtiment en construction	en construction	Edificio in costruzione	in costruzione	2026-05-08
1004	GSTAT	Gebäude bestehend	bestehend	Bâtiment existant	existant	Edificio esistente	esistente	2026-05-08
1005	GSTAT	Gebäude nicht nutzbar	nicht nutzbar	Bâtiment non utilisable	non utilisable	Edificio non utilizzabile	non utilizzabile	2026-05-08
1007	GSTAT	Gebäude abgebrochen	abgebrochen	Bâtiment démoli	démoli	Edificio demolito	demolito	2026-05-08
1008	GSTAT	Gebäude nicht realisiert	nicht realisiert	Bâtiment non réalisé	non réalisé	Edificio non realizzato	non realizzato	2026-05-08
